NO;NO.INDUK KARYAWAN;AMOUNT
; H0362 ;900.000
; H0144 ;250.000
; H0396 ;100.000
; H0405 ;250.000
; H0411 ;100.000
; H0427 ;100.000
; H0416 ;600.000
; H0417 ;600.000
; H0071 ;600.000
; H0450 ;250.000
; H0475 ;250.000
; H0482 ;250.000
; H0487 ;600.000
; H0493 ;100.000
; H0506 ;187.500
; H0527 ;125.000
; H0033 ;100.000
; H0093 ;100.000
; H0484 ;900.000
; H0277 ;600.000
; H0183 ;100.000
; H0126 ;100.000
; H0080 ;100.000
; H0088 ;100.000
; H0091 ;100.000
; H0092 ;100.000
; H0095 ;100.000
; H0096 ;100.000
; H0100 ;100.000
; H0101 ;100.000
; H0103 ;600.000
; H0105 ;100.000
; H0108 ;100.000
; H0109 ;100.000
; H0019 ;100.000
; H0018 ;250.000
; H0017 ;100.000
; H0042 ;100.000
; H0130 ;250.000
; H0020 ;100.000
; H0461 ;100.000
; H0462 ;100.000
; H0463 ;100.000
; H0128 ;100.000
; H0121 ;100.000
; H0219 ;250.000
; H0220 ;250.000
; H0064 ;600.000
; H0252 ;600.000
; H0117 ;100.000
; H0317 ;250.000
; H0489 ;250.000
; H0490 ;250.000
; H0330 ;250.000
; H0110 ;250.000
; H0159 ;250.000
; H0123 ;600.000
; H0202 ;600.000
; H0200 ;900.000
; H0433 ;250.000
; H0446 ;900.000
; H0472 ;900.000
; H0474 ;250.000
; H0476 ;900.000
; H0533 ;250.000
; H0534 ;250.000
; H0535 ;250.000
; H0521 ;50.000
; H0529 ;104.167
; H0543 ;41.667
; H0550 ;41.667
; H0548 ;41.667
; H0549 ;41.667
; H0167 ;600.000
; H0158 ;100.000
; H0166 ;600.000
; H0237 ;250.000
; H0389 ;600.000
;G0050;250.000
;G0033;600.000
;G0034;100.000
;G0035;100.000
;G0036;100.000
;G0037;100.000
;G0040;100.000
;G0042;100.000
;G0044;100.000
;G0046;100.000
;G0048;100.000
;G0049;100.000
;G0053;100.000
;G0054;100.000
;G0055;100.000
;G0060;250.000
;G0159;600.000
;G0123;100.000
;G0254;100.000
;G0158;100.000
;G0128;600.000
;G0262;600.000
;G0580;100.000
;G0039;100.000
;G0611;600.000
;G0316;600.000
;G0184;100.000
;G0186;100.000
;G0129;100.000
;G0185;100.000
;G0351;100.000
;G0127;250.000
;G0562;100.000
;G0585;250.000
;G0246;250.000
;G0323;100.000
;G0030;600.000
;G0008;100.000
;G0007;100.000
;G0133;600.000
;G0352;250.000
;G0371;250.000
;G0443;250.000
;G0503;100.000
;G0494;900.000
;G0510;100.000
;G0509;250.000
;G0576;100.000
;G0581;250.000
;G0582;250.000
;G0589;95.833
;G0590;95.833
;G0591;239.583
;G0597;187.500
;G0600;166.667
;G0601;166.667
;G0604;145.833
;G0605;145.833
;G0606;145.833
;G0607;145.833
;G0113;100.000
;G0101;100.000
;G0103;100.000
;G0104;100.000
;G0107;100.000
;G0109;100.000
;G0111;100.000
;G0112;100.000
;G0114;100.000
;G0116;250.000
;G0117;250.000
;G0126;600.000
;G0135;100.000
;G0137;100.000
;G0132;600.000
;G0217;100.000
;G0218;100.000
;G0047;100.000
;G0057;100.000
;G0138;600.000
;G0136;250.000
;G0180;250.000
;G0408;100.000
;G0118;100.000
;G0118;100.000
;G0052;600.000
;G0118;100.000
;G0118;250.000
;G0182;250.000
;G0119;250.000
;G0258;250.000
;G0134;100.000
;G0277;600.000
;G0200;100.000
;G0183;250.000
;G0139;250.000
;G0150;600.000
;G0099;250.000
;G0393;250.000
;G0177;250.000
;G0173;250.000
;G0176;100.000
;G0171;600.000
;G0257;250.000
;G0307;900.000
;G0286;100.000
;G0331;250.000
;G0410;100.000
;G0423;100.000
;G0437;600.000
;G0445;250.000
;G0472;100.000
;G0496;100.000
;G0504;100.000
;G0502;100.000
;G0012;100.000
;G0511;100.000
;G0528;250.000
;G0531;250.000
;G0547;600.000
;G0530;900.000
;G0551;100.000
;G0559;100.000
;G0577;100.000
;G0587;95.833
;G0470;100.000
;G0595;83.333
;G0602;66.667
;G0608;145.833
;L0057;900.000
;L0021;600.000
;L0028;900.000
;L0055;900.000
;L0001;600.000
;L0002;250.000
;L0003;250.000
;L0004;250.000
;L0006;250.000
;L0007;250.000
;L0008;250.000
;L0011;900.000
;L0013;900.000
;L0014;250.000
;L0016;250.000
;L0017;900.000
;L0019;900.000
;L0015;900.000
;L0069;100.000
;L0093;900.000
;L0032;250.000
;L0098;250.000
;L0099;250.000
;L0023;600.000
;L0018;600.000
;L0046;600.000
;L0048;600.000
;L0059;600.000
;L0072;600.000
;L0073;600.000
;L0095;900.000
;L0097;600.000
;L0101;208.333
;L0102;83.333
;L0103;83.333
; A0231 ;900.000
; A0240 ;900.000
; A0241 ;600.000
